data_coleta,titulo,url,origem
2025-12-14 05:51:43,Surface Tension of Software,https://iamstelios.com/blog/surface-tension-of-software/,HackerNews
2025-12-14 05:51:43,Linux Sandboxes and Fil-C,https://fil-c.org/seccomp,HackerNews
2025-12-14 05:51:43,Using e-ink tablet as monitor for Linux,https://alavi.me/blog/e-ink-tablet-as-monitor-linux/,HackerNews
2025-12-14 05:51:43,I fed 24 years of my blog posts to a Markov model,https://susam.net/fed-24-years-of-posts-to-markov-model.html,HackerNews
2025-12-14 05:51:43,Recovering Anthony Bourdain's Li.st's,https://sandyuraz.com/blogs/bourdain/,HackerNews
2025-12-14 05:51:43,I tried Gleam for Advent of Code,https://blog.tymscar.com/posts/gleamaoc2025/,HackerNews
2025-12-14 05:51:43,Cat Gap,https://en.wikipedia.org/wiki/Cat_gap,HackerNews
2025-12-14 05:51:43,Closures as Win32 Window Procedures,https://nullprogram.com/blog/2025/12/12/,HackerNews
2025-12-14 05:51:43,An Implementation of J (1992),https://www.jsoftware.com/ioj/ioj.htm,HackerNews
2025-12-14 05:51:43,Lean theorem prover mathlib,https://github.com/leanprover-community/mathlib4,HackerNews
2025-12-14 05:51:43,No-Tifier (2017),https://subject.space/projects/no-tifier/,HackerNews
2025-12-14 05:51:43,"If a Meta AI model can read a brain-wide signal, why wouldn't the brain?",https://1393.xyz/writing/if-a-meta-ai-model-can-read-a-brain-wide-signal-why-wouldnt-the-brain,HackerNews
2025-12-14 05:51:43,Twins reared apart do not exist,https://davidbessis.substack.com/p/twins-reared-apart-do-not-exist,HackerNews
2025-12-14 05:51:43,Mystery Science Theater 3000: The Definitive Oral History of a TV Masterpiece,https://www.wired.com/2014/04/mst3k-oral-history/,HackerNews
2025-12-14 05:51:43,"The Rise of Computer Games, Part I: Adventure",https://technicshistory.com/2025/12/13/the-rise-of-computer-games-part-i-adventure/,HackerNews
2025-12-14 05:51:43,VPN location claims don't match real traffic exits,https://ipinfo.io/blog/vpn-location-mismatch-report,HackerNews
2025-12-14 05:51:43,Useful patterns for building HTML tools,https://simonwillison.net/2025/Dec/10/html-tools/,HackerNews
2025-12-14 05:51:43,"Bye, Mom",https://aella.substack.com/p/bye-mom,HackerNews
2025-12-14 05:51:43,Heavy metal is healing teens on the Blackfeet Nation,https://www.hcn.org/issues/57-11/heavy-metal-is-healing-teens-on-the-blackfeet-nation/,HackerNews
2025-12-14 05:51:43,Go Proposal: Secret Mode,https://antonz.org/accepted/runtime-secret/,HackerNews
2025-12-14 05:51:43,"An off-grid, flat-packable washing machine",https://www.positive.news/society/flat-pack-washing-machine-spins-a-fairer-future/,HackerNews
2025-12-14 05:51:43,Why Twilio Segment moved from microservices back to a monolith,https://www.twilio.com/en-us/blog/developers/best-practices/goodbye-microservices,HackerNews
2025-12-14 05:51:43,Ask HN: How can I get better at using AI for programming?,item?id=46255285,HackerNews
2025-12-14 05:51:43,Cryptids,https://wiki.bbchallenge.org/wiki/Cryptids,HackerNews
2025-12-14 05:51:43,Dhtml Lemmings (2004),https://www.elizium.nu/scripts/lemmings/index.php,HackerNews
2025-12-14 05:51:43,From Azure Functions to FreeBSD,https://jmmv.dev/2025/12/from-azure-functions-to-freebsd.html,HackerNews
2025-12-14 05:51:43,Using Python for Scripting,https://hypirion.com/musings/use-python-for-scripting,HackerNews
2025-12-14 05:51:43,Researchers seeking better measures of cognitive fatigue,https://www.nature.com/articles/d41586-025-03974-w,HackerNews
2025-12-14 05:51:43,Create a Markdown Editor in Ruby on Rails,https://blog.appsignal.com/2025/12/10/create-a-markdown-editor-in-ruby-on-rails.html,HackerNews
2025-12-14 05:51:43,What is the nicest thing a stranger has ever done for you?,https://louplummer.lol/nice-stranger/,HackerNews
2025-12-14 05:51:51,Photographer built a medium-format rangefinder,https://petapixel.com/2025/12/06/this-photographer-built-an-awesome-medium-format-rangefinder-and-so-can-you/,HackerNews
