data_coleta,titulo,url,origem
2025-12-14 05:06:38,Surface Tension of Software,https://iamstelios.com/blog/surface-tension-of-software/,HackerNews
2025-12-14 05:06:38,Linux Sandboxes and Fil-C,https://fil-c.org/seccomp,HackerNews
2025-12-14 05:06:38,Using e-ink tablet as monitor for Linux,https://alavi.me/blog/e-ink-tablet-as-monitor-linux/,HackerNews
2025-12-14 05:06:38,I fed 24 years of my blog posts to a Markov model,https://susam.net/fed-24-years-of-posts-to-markov-model.html,HackerNews
2025-12-14 05:06:38,Recovering Anthony Bourdain's Li.st's,https://sandyuraz.com/blogs/bourdain/,HackerNews
2025-12-14 05:06:38,I tried Gleam for Advent of Code,https://blog.tymscar.com/posts/gleamaoc2025/,HackerNews
2025-12-14 05:06:38,Closures as Win32 Window Procedures,https://nullprogram.com/blog/2025/12/12/,HackerNews
2025-12-14 05:06:38,Cat Gap,https://en.wikipedia.org/wiki/Cat_gap,HackerNews
2025-12-14 05:06:38,An Implementation of J (1992),https://www.jsoftware.com/ioj/ioj.htm,HackerNews
2025-12-14 05:06:38,Lean theorem prover mathlib,https://github.com/leanprover-community/mathlib4,HackerNews
2025-12-14 05:06:38,No-Tifier (2017),https://subject.space/projects/no-tifier/,HackerNews
2025-12-14 05:06:38,"If a Meta AI model can read a brain-wide signal, why wouldn't the brain?",https://1393.xyz/writing/if-a-meta-ai-model-can-read-a-brain-wide-signal-why-wouldnt-the-brain,HackerNews
2025-12-14 05:06:38,"The Rise of Computer Games, Part I: Adventure",https://technicshistory.com/2025/12/13/the-rise-of-computer-games-part-i-adventure/,HackerNews
2025-12-14 05:06:38,VPN location claims don't match real traffic exits,https://ipinfo.io/blog/vpn-location-mismatch-report,HackerNews
2025-12-14 05:06:38,Mystery Science Theater 3000: The Definitive Oral History of a TV Masterpiece,https://www.wired.com/2014/04/mst3k-oral-history/,HackerNews
2025-12-14 05:06:38,Useful patterns for building HTML tools,https://simonwillison.net/2025/Dec/10/html-tools/,HackerNews
2025-12-14 05:06:38,Heavy metal is healing teens on the Blackfeet Nation,https://www.hcn.org/issues/57-11/heavy-metal-is-healing-teens-on-the-blackfeet-nation/,HackerNews
2025-12-14 05:06:38,Twins reared apart do not exist,https://davidbessis.substack.com/p/twins-reared-apart-do-not-exist,HackerNews
2025-12-14 05:06:38,Go Proposal: Secret Mode,https://antonz.org/accepted/runtime-secret/,HackerNews
2025-12-14 05:06:38,Dhtml Lemmings (2004),https://www.elizium.nu/scripts/lemmings/index.php,HackerNews
